climate,size,T_ep_mean,T_ep_min,T_ep_max,T_ep_old_mean,T_ep_old_min,T_ep_old_max
Lyon FR,small_25_m,35.603735485231354,20.179734456105116,56.615491434677004,35.73086896942812,20.32730576308345,56.74550105625163
Lyon FR,medium_1000_m,41.335538085069494,24.675240319865672,64.08272843267439,41.54166229614269,24.83473150932034,64.29347190529876
Lyon FR,large_14000_m,44.02815793991218,25.966922968611552,68.05180977300006,44.25694944121903,26.13978284469638,68.28737627767578
Chambery FR,small_25_m,31.926873242688867,19.53194231932862,54.523116644379314,32.121923222681914,19.765223050960707,54.72423987308335
Chambery FR,medium_1000_m,36.19275906908339,24.015535559977064,60.658202511976604,36.50667149465492,24.36709495892446,60.99887638450143
Chambery FR,large_14000_m,38.25323821445017,25.743477942065613,64.22817273619228,38.6008815594024,26.12862669293626,64.60917064526502
Almeria ES,small_25_m,40.59223208296504,26.404408137498745,55.84865427434839,40.73826445346172,26.495667273363782,55.984327890978456
Almeria ES,medium_1000_m,44.93417029784128,29.22583872967233,63.50444632132259,45.170735216826266,29.36709968389985,63.74501215942127
Almeria ES,large_14000_m,46.982859292078466,30.43301864120146,67.24307873278865,47.24478899150335,30.587729097736993,67.51205200122276
